Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Респиратор противогазоаэрозольный%до износа%При выполнении  работ в тоннелях дополнительно: %1%0%0%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Противогаз фильтрующий% дежурный%При выполнении  работ в тоннелях дополнительно: При выполнении  работ в тоннелях дополнительно: При выполнении  работ в тоннелях дополнительно: %1%0%0%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Комплект для защиты от пониженных температур  «Путеец» %по поясам%Зимой дополнительно:%1%36%36%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Шапка-ушанка со звукопроводными вставками%по поясам%Зимой дополнительно:%1%24%24%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Шапка трикотажная%1 на 2 года%Зимой дополнительно:%1%24%24%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Рукавицы утепленные%по поясам%Зимой дополнительно:%1%6%6%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Перчатки утепленные%по поясам%Зимой дополнительно:%1%6%6%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Перчатки утепленные с защитным покрытием, нефтеморозостойкие%по поясам%Зимой дополнительно:%1%6%6%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Сапоги утепленные из поливинилхлоридного пластиката и влагостойкой ткани%по поясам%Зимой дополнительно:%1%24%24%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Сапоги юфтевые  утепленные на нефтеморозостойкой подошве%по поясам%Зимой дополнительно:%1%12%12%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Валенки (сапоги валяные) с резиновым низом %по поясам%Зимой дополнительно:%1%12%12%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Полушубок%по поясам%В III, IV и особом поясах, а также в Казанском отделении Горьковской железной дороги; Самарском, Ульяновском отделениях Куйбышевской  железной дороги; Московско – Курском, Московско – Рязанском,Московско – Смоленском отделениях Московской  железной дороги; Санкт – Петербургском, Санкт-Петербург – Витебском, Волховстроевском, Московском  отделениях Октябрьской  железной дороги дополнительно:Санкт-Петербург – Витебском, Волховстроевском, Московском  отделениях Октябрьской  железной дороги дополнительно:%1%60%60%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Полупальто на меховой подкладке%по поясам%В III, IV и особом поясах, а также в Казанском отделении Горьковской железной дороги; Самарском, Ульяновском отделениях Куйбышевской  железной дороги; Московско – Курском, Московско – Рязанском,Московско – Смоленском отделениях Московской  железной дороги; Санкт – Петербургском, Санкт-Петербург – Витебском, Волховстроевском, Московском  отделениях Октябрьской  железной дороги дополнительно:Санкт-Петербург – Витебском, Волховстроевском, Московском  отделениях Октябрьской  железной дороги дополнительно:%1%60%60%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Куртка на меховой подкладке%по поясам%В III, IV и особом поясах, а также в Казанском отделении Горьковской железной дороги; Самарском, Ульяновском отделениях Куйбышевской  железной дороги; Московско – Курском, Московско – Рязанском,Московско – Смоленском отделениях Московской  железной дороги; Санкт – Петербургском, Санкт-Петербург – Витебском, Волховстроевском, Московском  отделениях Октябрьской  железной дороги дополнительно:Санкт-Петербург – Витебском, Волховстроевском, Московском  отделениях Октябрьской  железной дороги дополнительно:%1%60%60%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Сапоги кожаные утепленные «СЕВЕР ЖД»%  по поясам%В III, IV и особом поясах, а также в Казанском отделении Горьковской железной дороги; Самарском, Ульяновском отделениях Куйбышевской  железной дороги; Московско – Курском, Московско – Рязанском,Московско – Смоленском отделениях Московской  железной дороги; Санкт – Петербургском, Санкт-Петербург – Витебском, Волховстроевском, Московском  отделениях Октябрьской  железной дороги дополнительно:Санкт-Петербург – Витебском, Волховстроевском, Московском  отделениях Октябрьской  железной дороги дополнительно:%1%36%36%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Свитер полушерстяной%1%При выполнении  работ  в тоннелях дополнительно:%1%12%12%
Хозяйство  пути и сооружений%РАБОЧИЕ%Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений; монтер пути; распределитель работ; тоннельный рабочий%Подшлемник для защиты от пониженных температур со звукопроводными вставками%по поясам%При выполнении  работ  в тоннелях дополнительно:%1%24%24%
